team,w,l,ot,pts
Boston,47,20,7,101
Tampa,44,24,8,96
Detroit,39,30,9,87
Boston,48,21,8,104
Tampa,45,25,9,99
Detroit,40,31,10,90
Boston,49,22,9,107
Tampa,46,26,10,102
Detroit,41,32,11,93
Boston,50,23,7,107
Tampa,47,27,8,102
Detroit,42,33,9,93
Boston,51,20,8,110
Tampa,48,24,9,105
Detroit,43,30,10,96
Boston,47,21,9,103
Tampa,44,25,10,98
Detroit,39,31,11,89
Boston,48,22,7,103
Tampa,45,26,8,98
Detroit,40,32,9,89
Boston,49,23,8,106
Tampa,46,27,9,101
Detroit,41,33,10,92
Boston,50,20,9,109
Tampa,47,24,10,104
Detroit,42,30,11,95
Boston,51,21,7,109
Tampa,48,25,8,104
Detroit,43,31,9,95
